ADM_SECT_GBN|ADM_CD|ADM_SECT_NM|LOWEST_ADM_SECT_NM|DEL_YMD|CHG_BEF_ADM_SECT_GBN|CRE_YMD|CHG_BEF_ADM_SECT_CD|COL_ADM_SECT_CD
A|2800000000|인천광역시|인천광역시|||19950101||26110
A|2811000000|인천광역시 중구|중구|||19950101||26110
A|2811052000|인천광역시 중구 연안동|연안동|||19950101||26110
A|2811053000|인천광역시 중구 신포동|신포동|||19981010||26110
A|2811054000|인천광역시 중구 신흥동|신흥동|||19981010||26110
A|2811056000|인천광역시 중구 도원동|도원동|||19950101||26110
A|2811057000|인천광역시 중구 율목동|율목동|||19950101||26110
A|2811058500|인천광역시 중구 동인천동|동인천동|||19981010||26110
A|2811060000|인천광역시 중구 북성동|북성동|||19950101||26110
A|2811061000|인천광역시 중구 송월동|송월동|||19950101||26110
A|2811062000|인천광역시 중구 영종동|영종동|||19950101||26110
A|2811062400|인천광역시 중구 영종출장소중산지소|영종출장소중산지소|||20140101||26110
A|2811062800|인천광역시 중구 운서동|운서동||A|20120101|2811062700|26110
A|2811063000|인천광역시 중구 용유동|용유동|||19950101||26110
A|2811063700|인천광역시 중구 용유출장소무의지소|용유출장소무의지소|||20060605||26110
A|2811400000|인천광역시 중구 영종출장소|중구 영종출장소|||20060605||26110
A|2811800000|인천광역시 중구 용유출장소|중구 용유출장소|||20060605||26110
A|2814000000|인천광역시 동구|동구|||19950101||26110
A|2814051000|인천광역시 동구 만석동|만석동|||19950101||26110
A|2814052500|인천광역시 동구 화수1.화평동|화수1.화평동|||19981101||26110
A|2814053000|인천광역시 동구 화수2동|화수2동|||19950101||26110
A|2814055500|인천광역시 동구 송현1.2동|송현1.2동|||19981101||26110
A|2814057000|인천광역시 동구 송현3동|송현3동|||19950101||26110
A|2814058000|인천광역시 동구 송림1동|송림1동|||19950101||26110
A|2814059000|인천광역시 동구 송림2동|송림2동|||19950101||26110
A|2814060500|인천광역시 동구 송림3.5동|송림3.5동|||19981101||26110
A|2814061000|인천광역시 동구 송림4동|송림4동|||19950101||26110
A|2814063000|인천광역시 동구 송림6동|송림6동|||19950101||26110
A|2814064000|인천광역시 동구 금창동|금창동|||19950101||26110
A|2817700000|인천광역시 미추홀구|미추홀구||A|20180701||26110
A|2817751000|인천광역시 미추홀구 숭의2동|숭의2동||A|20180701||26110
A|2817752000|인천광역시 미추홀구 숭의1.3동|숭의1.3동||A|20180701||26110
A|2817753000|인천광역시 미추홀구 숭의4동|숭의4동||A|20180701||26110
A|2817754000|인천광역시 미추홀구 용현1.4동|용현1.4동||A|20180701||26110
A|2817755000|인천광역시 미추홀구 용현2동|용현2동||A|20180701||26110
A|2817756000|인천광역시 미추홀구 용현3동|용현3동||A|20180701||26110
A|2817757000|인천광역시 미추홀구 용현5동|용현5동||A|20180701||26110
A|2817758000|인천광역시 미추홀구 학익1동|학익1동||A|20180701||26110
A|2817759000|인천광역시 미추홀구 학익2동|학익2동||A|20180701||26110
A|2817760000|인천광역시 미추홀구 도화1동|도화1동||A|20180701||26110
A|2817761000|인천광역시 미추홀구 도화2.3동|도화2.3동||A|20180701||26110
A|2817762000|인천광역시 미추홀구 주안1동|주안1동||A|20180701||26110
A|2817763000|인천광역시 미추홀구 주안2동|주안2동||A|20180701||26110
A|2817764000|인천광역시 미추홀구 주안3동|주안3동||A|20180701||26110
A|2817765000|인천광역시 미추홀구 주안4동|주안4동||A|20180701||26110
A|2817766000|인천광역시 미추홀구 주안5동|주안5동||A|20180701||26110
A|2817767000|인천광역시 미추홀구 주안6동|주안6동||A|20180701||26110
A|2817768000|인천광역시 미추홀구 주안7동|주안7동||A|20180701||26110
A|2817769000|인천광역시 미추홀구 주안8동|주안8동||A|20180701||26110
A|2817770000|인천광역시 미추홀구 관교동|관교동||A|20180701||26110
A|2817771000|인천광역시 미추홀구 문학동|문학동||A|20180701||26110
A|2818500000|인천광역시 연수구|연수구|||19950301||26110
A|2818563000|인천광역시 연수구 옥련1동|옥련1동|||20030301||26110
A|2818564000|인천광역시 연수구 옥련2동|옥련2동|||20030301||26110
A|2818575000|인천광역시 연수구 선학동|선학동|||19950301||26110
A|2818576100|인천광역시 연수구 연수1동|연수1동|||19950301||26110
A|2818576200|인천광역시 연수구 연수2동|연수2동|||19950301||26110
A|2818576300|인천광역시 연수구 연수3동|연수3동|||19950301||26110
A|2818576600|인천광역시 연수구 청학동|청학동|||19950301||26110
A|2818578000|인천광역시 연수구 동춘1동|동춘1동|||19950301||26110
A|2818579000|인천광역시 연수구 동춘2동|동춘2동|||19950301||26110
A|2818579500|인천광역시 연수구 동춘3동|동춘3동|||20031218||26110
A|2818582000|인천광역시 연수구 송도1동|송도1동||A|20120101|2818581000|26110
A|2818583000|인천광역시 연수구 송도2동|송도2동||A|20120101|2818581000|26110
A|2818584000|인천광역시 연수구 송도3동|송도3동|||20140924||26110
A|2820000000|인천광역시 남동구|남동구|||19950101||26110
A|2820051000|인천광역시 남동구 구월1동|구월1동|||19950101||26110
A|2820052000|인천광역시 남동구 구월2동|구월2동|||19950101||26110
A|2820052100|인천광역시 남동구 구월3동|구월3동|||19950101||26110
A|2820052200|인천광역시 남동구 구월4동|구월4동|||19950101||26110
A|2820053000|인천광역시 남동구 간석1동|간석1동|||19950101||26110
A|2820054000|인천광역시 남동구 간석2동|간석2동|||19950101||26110
A|2820055000|인천광역시 남동구 간석3동|간석3동|||19950101||26110
A|2820055100|인천광역시 남동구 간석4동|간석4동|||19950101||26110
A|2820056000|인천광역시 남동구 만수1동|만수1동|||19950101||26110
A|2820057000|인천광역시 남동구 만수2동|만수2동|||19950101||26110
A|2820058000|인천광역시 남동구 만수3동|만수3동|||19950101||26110
A|2820058100|인천광역시 남동구 만수4동|만수4동|||19950101||26110
A|2820058200|인천광역시 남동구 만수5동|만수5동|||19950101||26110
A|2820058300|인천광역시 남동구 만수6동|만수6동|||19950101||26110
A|2820065000|인천광역시 남동구 장수서창동|장수서창동|||19981101||26110
A|2820066000|인천광역시 남동구 남촌도림동|남촌도림동|||19981101||26110
A|2820069000|인천광역시 남동구 논현1동|논현1동|||20110520||26110
A|2820070000|인천광역시 남동구 논현2동|논현2동|||20110520||26110
A|2820071000|인천광역시 남동구 논현고잔동|논현고잔동|||20110520||26110
A|2823700000|인천광역시 부평구|부평구|||19950301||26110
A|2823751000|인천광역시 부평구 부평1동|부평1동|||19950301||26110
A|2823752000|인천광역시 부평구 부평2동|부평2동|||19950301||26110
A|2823753000|인천광역시 부평구 부평3동|부평3동|||19950301||26110
A|2823754000|인천광역시 부평구 부평4동|부평4동|||19950301||26110
A|2823755000|인천광역시 부평구 부평5동|부평5동|||19950301||26110
A|2823756000|인천광역시 부평구 부평6동|부평6동|||19950301||26110
A|2823757000|인천광역시 부평구 산곡1동|산곡1동|||19950301||26110
A|2823758000|인천광역시 부평구 산곡2동|산곡2동|||19950301||26110
A|2823758100|인천광역시 부평구 산곡3동|산곡3동|||19950301||26110
A|2823758200|인천광역시 부평구 산곡4동|산곡4동|||19950301||26110
A|2823759100|인천광역시 부평구 청천1동|청천1동|||19950301||26110
A|2823759200|인천광역시 부평구 청천2동|청천2동|||19950301||26110
A|2823764100|인천광역시 부평구 갈산1동|갈산1동|||19950301||26110
A|2823764200|인천광역시 부평구 갈산2동|갈산2동|||19950301||26110
A|2823764600|인천광역시 부평구 삼산1동|삼산1동|||20060410||26110
A|2823764800|인천광역시 부평구 삼산2동|삼산2동|||20060410||26110
A|2823765000|인천광역시 부평구 부개1동|부개1동|||19950301||26110
A|2823766000|인천광역시 부평구 부개2동|부개2동|||19950301||26110
A|2823766100|인천광역시 부평구 부개3동|부개3동|||19950301||26110
A|2823767000|인천광역시 부평구 일신동|일신동|||19950301||26110
A|2823768000|인천광역시 부평구 십정1동|십정1동|||19950301||26110
A|2823769000|인천광역시 부평구 십정2동|십정2동|||19950301||26110
A|2824500000|인천광역시 계양구|계양구|||19950301||26110
A|2824560100|인천광역시 계양구 효성1동|효성1동|||19950301||26110
A|2824560200|인천광역시 계양구 효성2동|효성2동|||19950301||26110
A|2824561100|인천광역시 계양구 계산1동|계산1동|||19950301||26110
A|2824561200|인천광역시 계양구 계산2동|계산2동|||19950301||26110
A|2824561300|인천광역시 계양구 계산3동|계산3동|||19950301||26110
A|2824561400|인천광역시 계양구 계산4동|계산4동|||20030301||26110
A|2824562100|인천광역시 계양구 작전1동|작전1동|||19950301||26110
A|2824562200|인천광역시 계양구 작전2동|작전2동|||19950301||26110
A|2824564000|인천광역시 계양구 작전서운동|작전서운동|||19981101||26110
A|2824571000|인천광역시 계양구 계양1동|계양1동|||19950301||26110
A|2824572000|인천광역시 계양구 계양2동|계양2동|||19950301||26110
A|2824573000|인천광역시 계양구 계양3동|계양3동|||20150401||26110
A|2826000000|인천광역시 서구|서구|||19950101||26110
A|2826051500|인천광역시 서구 검암경서동|검암경서동|||19981101||26110
A|2826053000|인천광역시 서구 연희동|연희동|||19950101||26110
A|2826053600|인천광역시 서구 청라1동|청라1동|||20120709||26110
A|2826053700|인천광역시 서구 청라2동|청라2동|||20120709||26110
A|2826054200|인천광역시 서구 가정1동|가정1동|||19950101||26110
A|2826054300|인천광역시 서구 가정2동|가정2동|||19950101||26110
A|2826054400|인천광역시 서구 가정3동|가정3동|||19950101||26110
A|2826055000|인천광역시 서구 석남1동|석남1동|||19950101||26110
A|2826056000|인천광역시 서구 석남2동|석남2동|||19950101||26110
A|2826056100|인천광역시 서구 석남3동|석남3동|||19950101||26110
A|2826057500|인천광역시 서구 신현원창동|신현원창동|||19981101||26110
A|2826058000|인천광역시 서구 가좌1동|가좌1동|||19950101||26110
A|2826059000|인천광역시 서구 가좌2동|가좌2동|||19950101||26110
A|2826060000|인천광역시 서구 가좌3동|가좌3동|||19950101||26110
A|2826061000|인천광역시 서구 가좌4동|가좌4동|||19950101||26110
A|2826063000|인천광역시 서구 검단1동|검단1동||A|20020101|2826062000|26110
A|2826064000|인천광역시 서구 검단2동|검단2동||A|20020101|2826062000|26110
A|2826065000|인천광역시 서구 검단3동|검단3동|||20050901||26110
A|2826066000|인천광역시 서구 검단4동|검단4동|||20060901||26110
A|2826067000|인천광역시 서구 검단5동|검단5동|||20130902||26110
A|2826500000|인천광역시 서구 검단출장소|서구 검단출장소|||19950301||26110
A|2871000000|인천광역시 강화군|강화군|||19950301||26110
A|2871025000|인천광역시 강화군 강화읍|강화읍|||19950301||26110
A|2871031000|인천광역시 강화군 선원면|선원면|||19950301||26110
A|2871032000|인천광역시 강화군 불은면|불은면|||19950301||26110
A|2871033000|인천광역시 강화군 길상면|길상면|||19950301||26110
A|2871034000|인천광역시 강화군 화도면|화도면|||19950301||26110
A|2871035000|인천광역시 강화군 양도면|양도면|||19950301||26110
A|2871036000|인천광역시 강화군 내가면|내가면|||19950301||26110
A|2871037000|인천광역시 강화군 하점면|하점면|||19950301||26110
A|2871038000|인천광역시 강화군 양사면|양사면|||19950301||26110
A|2871039000|인천광역시 강화군 송해면|송해면|||19950301||26110
A|2871040000|인천광역시 강화군 교동면|교동면|||19950301||26110
A|2871041000|인천광역시 강화군 삼산면|삼산면|||19950301||26110
A|2871042000|인천광역시 강화군 서도면|서도면|||19950301||26110
A|2871042500|인천광역시 강화군 서도면볼음출장소|서도면볼음출장소|||19950301||26110
A|2872000000|인천광역시 옹진군|옹진군|||19950301||26110
A|2872031000|인천광역시 옹진군 북도면|북도면|||19950301||26110
A|2872031500|인천광역시 옹진군 북도면장봉출장소|북도면장봉출장소|||19950301||26110
A|2872033000|인천광역시 옹진군 백령면|백령면|||19950301||26110
A|2872034000|인천광역시 옹진군 대청면|대청면|||19950301||26110
A|2872034500|인천광역시 옹진군 대청면소청출장소|대청면소청출장소|||19950301||26110
A|2872035000|인천광역시 옹진군 덕적면|덕적면|||19950301||26110
A|2872036000|인천광역시 옹진군 영흥면|영흥면|||19950301||26110
A|2872037000|인천광역시 옹진군 자월면|자월면|||19950301||26110
A|2872038000|인천광역시 옹진군 연평면|연평면|||19990720||26110
L|2800000000|인천광역시|인천광역시||L|19950101|2300000000|26110
L|2811000000|인천광역시 중구|중구||L|19950101|2311000000|26110
L|2811010100|인천광역시 중구 중앙동1가|중앙동1가||L|19981010|2311010100|26110
L|2811010200|인천광역시 중구 중앙동2가|중앙동2가||L|19981010|2311010200|26110
L|2811010300|인천광역시 중구 중앙동3가|중앙동3가||L|19981010|2311010300|26110
L|2811010400|인천광역시 중구 중앙동4가|중앙동4가||L|19981010|2311010400|26110
L|2811010500|인천광역시 중구 해안동1가|해안동1가||L|19981010|2311010500|26110
L|2811010600|인천광역시 중구 해안동2가|해안동2가||L|19981010|2311010600|26110
L|2811010700|인천광역시 중구 해안동3가|해안동3가||L|19981010|2311010700|26110
L|2811010800|인천광역시 중구 해안동4가|해안동4가||L|19981010|2311010800|26110
L|2811010900|인천광역시 중구 관동1가|관동1가||L|19981010|2311010900|26110
L|2811011000|인천광역시 중구 관동2가|관동2가||L|19981010|2311011000|26110
L|2811011100|인천광역시 중구 관동3가|관동3가||L|19981010|2311011100|26110
L|2811011200|인천광역시 중구 항동1가|항동1가||L|19981010|2311011200|26110
L|2811011300|인천광역시 중구 항동2가|항동2가||L|19981010|2311011300|26110
L|2811011400|인천광역시 중구 항동3가|항동3가||L|19981010|2311011400|26110
L|2811011500|인천광역시 중구 항동4가|항동4가||L|19981010|2311011500|26110
L|2811011600|인천광역시 중구 항동5가|항동5가||L|19981010|2311011600|26110
L|2811011700|인천광역시 중구 항동6가|항동6가||L|19981010|2311011700|26110
L|2811011800|인천광역시 중구 항동7가|항동7가||L|19981010|2311011800|26110
L|2811011900|인천광역시 중구 송학동1가|송학동1가||L|19981010|2311011900|26110
L|2811012000|인천광역시 중구 송학동2가|송학동2가||L|19981010|2311012000|26110
L|2811012100|인천광역시 중구 송학동3가|송학동3가||L|19981010|2311012100|26110
L|2811012200|인천광역시 중구 사동|사동||L|19950101|2311012200|26110
L|2811012300|인천광역시 중구 신생동|신생동||L|19950101|2311012300|26110
L|2811012400|인천광역시 중구 신포동|신포동||L|19950101|2311012400|26110
L|2811012500|인천광역시 중구 답동|답동||L|19950101|2311012500|26110
L|2811012600|인천광역시 중구 신흥동1가|신흥동1가||L|19950101|2311012600|26110
L|2811012700|인천광역시 중구 신흥동2가|신흥동2가||L|19950101|2311012700|26110
L|2811012800|인천광역시 중구 신흥동3가|신흥동3가||L|19981010|2311012800|26110
L|2811012900|인천광역시 중구 선화동|선화동||L|19981010|2311012900|26110
L|2811013000|인천광역시 중구 유동|유동||L|19950101|2311013000|26110
L|2811013100|인천광역시 중구 율목동|율목동||L|19950101|2311013100|26110
L|2811013200|인천광역시 중구 도원동|도원동||L|19950101|2311013200|26110
L|2811013300|인천광역시 중구 내동|내동||L|19981010|2311013300|26110
L|2811013400|인천광역시 중구 경동|경동||L|19981010|2311013400|26110
L|2811013500|인천광역시 중구 용동|용동||L|19981010|2311013500|26110
L|2811013600|인천광역시 중구 인현동|인현동||L|19981010|2311013600|26110
L|2811013700|인천광역시 중구 전동|전동||L|19981010|2311013700|26110
L|2811013800|인천광역시 중구 북성동1가|북성동1가||L|19950101|2311013800|26110
L|2811013900|인천광역시 중구 북성동2가|북성동2가||L|19950101|2311013900|26110
L|2811014000|인천광역시 중구 북성동3가|북성동3가||L|19950101|2311014000|26110
L|2811014100|인천광역시 중구 선린동|선린동||L|19950101|2311014100|26110
L|2811014200|인천광역시 중구 송월동1가|송월동1가||L|19950101|2311014200|26110
L|2811014300|인천광역시 중구 송월동2가|송월동2가||L|19950101|2311014300|26110
L|2811014400|인천광역시 중구 송월동3가|송월동3가||L|19950101|2311014700|26110
L|2811014500|인천광역시 중구 중산동|중산동||L|19950101|2311014500|26110
L|2811014600|인천광역시 중구 운남동|운남동||L|19950101|2311014600|26110
L|2811014700|인천광역시 중구 운서동|운서동||L|19950101|2311014700|26110
L|2811014800|인천광역시 중구 운북동|운북동||L|19950101|2311014800|26110
L|2811014900|인천광역시 중구 을왕동|을왕동||L|19950101|2311014900|26110
L|2811015000|인천광역시 중구 남북동|남북동||L|19950101|2311015000|26110
L|2811015100|인천광역시 중구 덕교동|덕교동||L|19950101|2311015100|26110
L|2811015200|인천광역시 중구 무의동|무의동||L|19950101|2311015200|26110
L|2814000000|인천광역시 동구|동구||L|19950101|2314000000|26110
L|2814010100|인천광역시 동구 만석동|만석동||L|19950101|2314010100|26110
L|2814010200|인천광역시 동구 화수동|화수동||L|19981101|2314010200|26110
L|2814010300|인천광역시 동구 송현동|송현동||L|19981101|2314010300|26110
L|2814010400|인천광역시 동구 화평동|화평동||L|19981101|2314010400|26110
L|2814010500|인천광역시 동구 창영동|창영동||L|19950101|2314010500|26110
L|2814010600|인천광역시 동구 금곡동|금곡동||L|19950101|2314010600|26110
L|2814010700|인천광역시 동구 송림동|송림동||L|19981101|2314010700|26110
L|2817700000|인천광역시 미추홀구|미추홀구||L|20180701|2817000000|26110
L|2817710100|인천광역시 미추홀구 숭의동|숭의동||L|20180701|2817010100|26110
L|2817710200|인천광역시 미추홀구 용현동|용현동||L|20180701|2817010200|26110
L|2817710300|인천광역시 미추홀구 학익동|학익동||L|20180701|2817010300|26110
L|2817710400|인천광역시 미추홀구 도화동|도화동||L|20180701|2817010500|26110
L|2817710500|인천광역시 미추홀구 주안동|주안동||L|20180701|2817010600|26110
L|2817710600|인천광역시 미추홀구 관교동|관교동||L|20180701|2817010800|26110
L|2817710700|인천광역시 미추홀구 문학동|문학동||L|20180701|2817010900|26110
L|2818500000|인천광역시 연수구|연수구|||19950301||26110
L|2818510100|인천광역시 연수구 옥련동|옥련동||L|19950301|2817010400|26110
L|2818510200|인천광역시 연수구 선학동|선학동||L|19950301|2817010700|26110
L|2818510300|인천광역시 연수구 연수동|연수동||L|19950301|2817011000|26110
L|2818510400|인천광역시 연수구 청학동|청학동||L|19950301|2817011100|26110
L|2818510500|인천광역시 연수구 동춘동|동춘동||L|19950301|2817011200|26110
L|2818510600|인천광역시 연수구 송도동|송도동|||20060306||26110
L|2820000000|인천광역시 남동구|남동구||L|19950101|2320000000|26110
L|2820010100|인천광역시 남동구 구월동|구월동||L|19950101|2320010100|26110
L|2820010200|인천광역시 남동구 간석동|간석동||L|19950101|2320010200|26110
L|2820010300|인천광역시 남동구 만수동|만수동||L|19950101|2320010300|26110
L|2820010400|인천광역시 남동구 장수동|장수동||L|19981101|2320010400|26110
L|2820010500|인천광역시 남동구 서창동|서창동||L|19981101|2320010500|26110
L|2820010600|인천광역시 남동구 운연동|운연동||L|19981101|2320010600|26110
L|2820010700|인천광역시 남동구 남촌동|남촌동||L|19981101|2320010700|26110
L|2820010800|인천광역시 남동구 수산동|수산동||L|19981101|2320010800|26110
L|2820010900|인천광역시 남동구 도림동|도림동||L|19981101|2320010900|26110
L|2820011000|인천광역시 남동구 논현동|논현동||L|19981101|2320011000|26110
L|2820011100|인천광역시 남동구 고잔동|고잔동||L|19981101|2320011100|26110
L|2823700000|인천광역시 부평구|부평구|||19950301||26110
L|2823710100|인천광역시 부평구 부평동|부평동||L|19950301|2823010100|26110
L|2823710200|인천광역시 부평구 십정동|십정동||L|19950301|2823010200|26110
L|2823710300|인천광역시 부평구 산곡동|산곡동||L|19950301|2823010300|26110
L|2823710400|인천광역시 부평구 청천동|청천동||L|19950301|2823010400|26110
L|2823710500|인천광역시 부평구 삼산동|삼산동||L|19950301|2823010900|26110
L|2823710600|인천광역시 부평구 갈산동|갈산동||L|19950301|2823011000|26110
L|2823710700|인천광역시 부평구 부개동|부개동||L|19950301|2823011100|26110
L|2823710800|인천광역시 부평구 일신동|일신동||L|19950301|2823011200|26110
L|2823710900|인천광역시 부평구 구산동|구산동||L|19950301|2823011300|26110
L|2824500000|인천광역시 계양구|계양구|||19950301||26110
L|2824510100|인천광역시 계양구 효성동|효성동||L|19950301|2823010500|26110
L|2824510200|인천광역시 계양구 계산동|계산동||L|19950301|2823010600|26110
L|2824510300|인천광역시 계양구 작전동|작전동||L|19981101|2823010700|26110
L|2824510400|인천광역시 계양구 서운동|서운동||L|19981101|2823010800|26110
L|2824510500|인천광역시 계양구 임학동|임학동||L|19950301|2823011400|26110
L|2824510600|인천광역시 계양구 용종동|용종동||L|19970707|2823011500|26110
L|2824510700|인천광역시 계양구 병방동|병방동||L|19950301|2823011600|26110
L|2824510800|인천광역시 계양구 방축동|방축동||L|19950301|2823011700|26110
L|2824510900|인천광역시 계양구 박촌동|박촌동||L|19950301|2823011800|26110
L|2824511000|인천광역시 계양구 동양동|동양동||L|19950301|2823011900|26110
L|2824511100|인천광역시 계양구 귤현동|귤현동||L|19950301|2823012000|26110
L|2824511200|인천광역시 계양구 상야동|상야동||L|19950301|2823012100|26110
L|2824511300|인천광역시 계양구 하야동|하야동||L|19950301|2823012200|26110
L|2824511400|인천광역시 계양구 평동|평동||L|19950301|2823012300|26110
L|2824511500|인천광역시 계양구 노오지동|노오지동||L|19950301|2823012400|26110
L|2824511600|인천광역시 계양구 선주지동|선주지동||L|19950301|2823012500|26110
L|2824511700|인천광역시 계양구 이화동|이화동||L|19950301|2823012600|26110
L|2824511800|인천광역시 계양구 오류동|오류동||L|19950301|2823012700|26110
L|2824511900|인천광역시 계양구 갈현동|갈현동||L|19950301|2823012800|26110
L|2824512000|인천광역시 계양구 둑실동|둑실동||L|19950301|2823012900|26110
L|2824512100|인천광역시 계양구 목상동|목상동||L|19950301|2823013000|26110
L|2824512200|인천광역시 계양구 다남동|다남동||L|19950301|2823013100|26110
L|2824512300|인천광역시 계양구 장기동|장기동||L|19950301|2823013200|26110
L|2826000000|인천광역시 서구|서구||L|19950101|2326000000|26110
L|2826010100|인천광역시 서구 백석동|백석동||L|19981101|2326010100|26110
L|2826010200|인천광역시 서구 시천동|시천동||L|19981101|2326010200|26110
